	A1	A2	A3	B1	B2	B3	C1	C2	C3
gene_599	10	25	69	0	0	17	6	61	26
gene_600	50	244	126	36	6	47	36	18	47
gene_601	3	32	0	2	27	0	5	31	0
gene_602	570	512	565	111	90	141	209	76	83
gene_603	5	0	0	0	1	2	1	0	0
gene_604	226	293	186	42	54	61	46	45	56
gene_605	49	77	93	22	8	22	16	27	30
gene_606	2	1	13	1	3	4	0	4	0
gene_607	3	1	1	0	1	0	0	4	0
gene_608	192	262	163	110	30	41	52	62	33
gene_609	493	586	575	150	129	148	160	182	127
gene_610	2	5	1	0	0	0	0	3	5
gene_611	262	222	292	56	64	64	51	65	85
gene_612	0	45	19	0	0	1	2	1	1
gene_613	97	98	107	10	11	23	28	26	37
gene_614	0	0	7	0	0	1	1	0	0
gene_615	17	5	8	0	1	4	2	0	3
gene_616	9	169	42	29	36	16	4	44	25
gene_617	43	152	81	15	69	41	103	92	49
gene_618	38	61	75	21	24	13	18	15	12
gene_619	147	50	129	5	18	19	30	18	10
gene_620	606	657	499	135	190	173	131	162	144
gene_621	223	195	234	59	56	68	74	48	52
gene_622	6	2	8	0	0	3	2	4	0
gene_623	118	85	107	26	39	36	26	24	30
gene_624	2	1	1	0	0	0	0	0	0
gene_625	292	215	164	78	34	66	42	50	67
gene_626	38	33	37	2	5	17	21	10	13
gene_627	17	0	7	5	0	1	0	0	0
gene_628	5392	4592	5830	2320	1155	1120	1226	1592	1298
gene_629	5	5	11	0	3	1	0	2	1
gene_630	34	1	15	4	9	16	0	1	21
gene_631	135	230	213	22	65	36	19	154	51
gene_632	556	515	537	144	141	134	128	153	132
gene_633	22	19	22	3	4	5	3	8	6
gene_634	0	0	3	0	0	1	0	2	0
gene_635	21	6	7	5	3	2	3	2	2
gene_636	248	34	48	22	22	87	25	7	84
gene_637	5	7	7	1	3	1	1	2	2
gene_638	1	17	13	3	2	2	1	4	0
gene_639	2073	1587	1829	392	395	490	445	506	451
gene_640	1447	1308	1475	318	418	344	351	398	452
gene_641	94	155	188	27	57	25	18	31	23
gene_642	193	362	149	33	35	60	68	51	72
gene_643	449	497	849	68	217	161	145	118	140
gene_644	30	11	14	3	5	2	2	1	2
gene_645	0	52	3	0	0	5	0	0	1
gene_646	571	419	739	149	137	163	141	124	149
gene_647	604	588	558	133	136	164	144	150	143
gene_648	16	36	81	16	25	3	6	56	26
gene_649	7	4	21	3	8	3	0	1	4
gene_650	77	25	54	7	14	15	22	19	22
gene_651	56	54	222	32	17	47	7	22	27
gene_652	1	4	7	4	0	3	4	3	0
gene_653	174	174	215	45	92	58	39	39	32
gene_654	41	30	61	10	17	27	17	21	9
gene_655	28	67	7	19	168	69	5	32	0
gene_656	6	0	14	1	4	3	3	0	0
gene_657	5	6	4	2	0	4	2	1	1
gene_658	422	484	385	145	77	111	108	137	112
gene_659	238	759	404	112	88	167	58	113	74
gene_660	312	432	424	80	126	62	72	92	79
gene_661	27	0	6	14	1	3	0	0	1
gene_662	24	28	29	4	10	10	11	6	9
gene_663	18	9	36	4	3	7	8	17	4
gene_664	51	92	301	12	21	31	20	32	23
gene_665	21	20	10	4	2	12	6	5	6
gene_666	580	540	541	98	114	81	133	105	147
gene_667	172	175	160	38	45	41	39	49	38
gene_668	382	318	299	53	65	90	78	60	86
gene_669	1343	1148	1243	328	232	267	450	264	327
gene_670	3	1	8	1	4	1	3	0	0
gene_671	660	532	423	167	336	297	259	166	172
gene_672	425	404	275	79	80	102	92	122	108
gene_673	6	2	13	2	0	2	2	3	0
gene_674	101	65	68	71	45	23	51	72	139
gene_675	80	36	114	4	11	21	13	21	11
gene_676	223	249	206	68	46	75	59	42	50
gene_677	24	100	41	20	13	10	19	19	29
gene_678	30	8	9	8	4	3	2	2	3
gene_679	82	20	33	11	4	0	11	17	11
gene_680	69	38	59	17	20	14	26	6	17
gene_681	770	1314	626	286	359	198	204	145	206
gene_682	87	4	6	10	31	20	33	41	11
gene_683	1368	235	348	113	35	88	80	196	178
gene_684	218	230	234	51	55	63	81	66	74
gene_685	20	9	6	13	31	5	1	0	2
gene_686	0	1	0	0	2	0	0	0	0
gene_687	147	186	193	56	44	46	47	40	45
gene_688	110	175	178	54	28	26	38	19	29
gene_689	5	19	5	0	3	2	0	3	2
gene_690	0	3	1	0	2	1	0	1	1
gene_691	6	1	0	5	0	1	10	0	0
gene_692	18	14	26	9	5	2	37	0	3
gene_693	383	401	931	57	99	92	85	76	81
gene_694	579	516	525	141	153	209	162	155	118
gene_695	392	496	257	107	113	93	133	57	112
gene_696	226	257	289	19	45	62	53	47	40
gene_697	3	0	1	0	0	0	0	0	0
gene_698	97	88	139	36	22	50	42	42	24
gene_699	38	52	48	13	13	17	19	16	11
gene_700	51	136	105	14	38	37	43	65	56
gene_701	1	2	21	0	0	4	4	0	0
gene_702	1	24	102	0	13	16	5	12	14
gene_703	59	80	67	18	26	14	35	25	18
gene_704	1067	806	1113	178	264	252	304	259	218
gene_705	1221	1618	1546	396	283	479	275	339	306
gene_706	185	169	251	79	75	51	68	79	70
gene_707	77	49	60	19	10	15	13	23	12
gene_708	4	16	48	7	5	12	3	16	15
gene_709	676	820	1273	370	128	324	197	251	458
gene_710	72	52	60	12	18	8	14	19	12
gene_711	4	2	0	3	0	0	0	1	0
gene_712	23	157	204	18	26	59	28	26	18
gene_713	83	43	89	40	21	10	14	17	5
gene_714	0	4	0	6	18	7	9	2	0
gene_715	282	152	293	64	54	64	80	41	29
gene_716	150	213	35	36	48	30	59	43	54
gene_717	47	0	33	87	9	2	3	11	1
gene_718	51	51	3	8	6	11	1	1	3
gene_719	4	14	10	2	0	2	7	3	2
gene_720	143	155	190	57	44	29	47	47	36
gene_721	890	528	688	175	161	228	213	234	186
gene_722	24	18	12	9	15	7	0	4	15
gene_723	2	4	7	1	3	1	0	0	1
gene_724	26	18	30	11	15	20	13	12	11
gene_725	498	439	398	181	110	188	189	149	148
gene_726	944	1621	1961	310	210	442	368	388	232
gene_727	422	409	407	95	73	91	89	108	84
gene_728	174	193	241	63	55	63	58	48	57
gene_729	1	12	11	2	0	3	0	2	4
gene_730	92	2	29	0	1	3	2	4	0
gene_731	26	23	27	18	21	8	14	18	1
gene_732	73	71	103	24	10	39	13	23	28
gene_733	113	217	143	28	28	27	41	22	31
gene_734	2424	3440	3144	796	598	272	1054	641	772
gene_735	11	5	0	0	0	2	0	0	4
gene_736	21	10	10	6	2	0	1	7	2
gene_737	6	0	0	0	1	2	3	1	0
gene_738	1718	2654	2132	504	568	586	564	715	505
gene_739	9	0	17	6	34	2	1	5	3
gene_740	365	286	317	87	79	50	57	82	86
gene_741	5	3	27	9	0	2	0	1	0
gene_742	2707	4299	5233	869	1284	1191	1019	1026	761
gene_743	7	0	0	0	1	2	11	2	3
gene_744	46	21	8	3	6	7	6	13	11
gene_745	250	223	247	47	111	76	98	58	82
gene_746	101	100	10	39	14	26	2	4	2
gene_747	0	0	0	0	1	0	0	1	0
gene_748	1265	1295	1609	348	336	423	330	307	384
gene_749	33	40	15	5	6	13	4	9	18
gene_750	1	8	18	1	0	7	2	5	0
gene_751	2	2	33	1	0	0	0	1	1
gene_752	2	3	116	30	3	19	17	7	1
gene_753	203	242	226	50	51	52	42	71	62
gene_754	3	0	2	1	0	0	0	0	0
gene_755	42	49	33	1	0	10	37	7	18
gene_756	749	677	394	76	291	124	100	195	67
gene_757	26	9	9	0	0	3	4	2	3
gene_758	2808	2982	2057	1183	873	972	381	888	1145
gene_759	11	25	2	1	4	0	2	0	1
gene_760	24	12	25	4	1	8	6	2	7
gene_761	8	28	34	3	0	1	3	16	5
gene_762	176	153	120	25	35	34	34	34	29
gene_763	52	38	65	15	7	30	11	14	9
gene_764	80	29	70	5	4	7	7	18	11
gene_765	3	0	3	0	0	0	1	1	0
gene_766	1027	1424	406	309	344	358	186	204	214
gene_767	71	154	125	17	34	33	28	38	7
gene_768	157	73	103	70	26	37	41	27	33
gene_769	342	483	506	126	119	123	108	153	108
gene_770	1	0	16	0	0	5	4	0	0
gene_771	5	3	18	2	7	6	4	9	3
gene_772	7	12	4	1	1	3	1	1	4
gene_773	449	408	328	87	99	73	111	101	97
gene_774	145	64	105	26	18	14	32	31	31
gene_775	284	436	732	87	79	160	105	173	141
gene_776	8	46	0	89	0	108	42	20	0
gene_777	677	645	665	153	183	115	134	150	142
gene_778	1	0	2	0	0	0	0	0	2
gene_779	236	252	180	7	65	46	10	31	17
gene_780	205	247	310	76	49	48	53	51	35
gene_781	1093	965	1100	185	271	265	252	326	270
gene_782	64	45	98	44	15	3	42	5	17
gene_783	50	75	62	12	10	15	18	8	12
gene_784	47	47	16	6	8	7	14	11	4
gene_785	480	266	356	99	134	55	70	79	64
gene_786	27	27	108	9	14	3	10	8	8
gene_787	263	381	199	106	95	69	83	78	73
gene_788	15078	29684	28509	6994	6591	6914	7031	5601	5076
gene_789	110	70	142	56	43	41	33	57	52
gene_790	40	42	102	51	5	12	3	66	1
gene_791	0	0	31	13	0	3	10	3	4
gene_792	0	13	2	0	2	1	0	0	1
gene_793	101	155	199	81	21	44	104	67	56
gene_794	287	209	531	67	181	101	62	109	66
gene_795	42	9	21	11	7	3	2	6	2
gene_796	5	0	3	0	0	1	10	0	3
gene_797	1	2	0	3	2	16	1	6	1
gene_798	268	289	316	64	90	79	59	61	78
gene_799	10	17	24	2	2	3	12	13	1
gene_800	122	103	88	32	26	33	44	28	19
gene_801	157	131	146	42	46	26	36	31	37
gene_802	0	46	19	17	2	13	0	15	2
gene_803	54	12	24	1	8	1	10	1	2
gene_804	758	1070	1085	273	224	231	219	170	188
gene_805	520	168	123	63	42	28	51	14	28
gene_806	199	101	34	16	18	28	29	11	22
gene_807	215	65	130	86	31	31	40	43	26
gene_808	118	150	125	30	54	40	30	15	33
gene_809	186	100	227	92	83	37	93	91	49
gene_810	5	1	6	0	2	0	0	0	0
gene_811	0	15	45	0	67	23	0	1	2
gene_812	47	24	24	18	4	21	10	7	6
gene_813	0	0	0	0	0	0	0	0	0
gene_814	3	4	40	16	0	1	0	0	9
gene_815	121	212	231	37	44	24	43	63	56
gene_816	51	65	43	19	16	18	10	7	25
gene_817	421	590	181	92	130	123	54	92	101
gene_818	198	464	98	36	103	35	63	93	75
gene_819	372	584	348	155	46	95	181	143	140
gene_820	0	0	0	1	1	3	0	1	2
gene_821	1068	454	937	224	210	299	136	242	197
gene_822	1103	584	918	134	196	153	231	234	273
gene_823	42	66	43	5	13	8	12	12	4
gene_824	20	11	2	0	6	0	1	3	22
gene_825	68	75	71	23	15	28	21	16	12
gene_826	182	147	93	20	47	32	1	40	16
gene_827	212	226	201	59	71	96	95	94	79
gene_828	94	47	42	12	26	5	13	13	27
gene_829	184	51	159	39	52	49	19	24	41
gene_830	986	722	556	102	107	164	101	278	130
gene_831	824	2131	1184	296	432	805	628	461	514
gene_832	3	10	5	0	2	1	0	0	3
gene_833	11	6	14	0	0	0	0	1	2
gene_834	11	2	12	4	2	3	0	0	2
gene_835	18	2	1	0	21	2	18	0	7
gene_836	168	297	79	33	29	44	85	54	92
gene_837	282	270	241	51	35	39	54	49	71
gene_838	38	24	39	9	7	3	6	6	7
gene_839	5	1	13	5	0	5	0	0	0
gene_840	55	34	25	14	9	14	13	10	8
gene_841	389	439	457	110	116	79	99	109	124
gene_842	1030	1942	1685	219	362	437	332	240	347
gene_843	45	28	197	21	72	4	77	25	20
gene_844	86	70	119	23	24	9	16	27	10
gene_845	1076	1023	991	233	244	353	258	367	359
gene_846	74	228	277	50	47	60	21	24	66
gene_847	38	107	40	21	24	38	8	3	6
gene_848	21	50	60	20	21	9	9	20	16
gene_849	52	10	73	11	1	1	0	33	2
gene_850	146	106	153	75	63	57	19	23	44
gene_851	41	36	53	14	7	13	12	15	24
gene_852	105	168	129	35	33	27	30	29	30
gene_853	237	353	144	37	41	44	55	41	36
gene_854	1372	1290	1284	383	290	375	178	334	364
gene_855	404	421	358	133	149	82	75	145	83
gene_856	0	71	23	2	0	2	5	0	6
gene_857	470	435	588	92	132	121	122	122	126
gene_858	10	23	40	1	1	5	4	4	6
gene_859	277	302	315	81	83	83	98	58	84
gene_860	1	16	1	1	1	0	8	6	0
gene_861	239	179	201	55	82	37	47	52	36
gene_862	19	6	15	0	1	0	1	1	4
gene_863	127	118	106	47	34	51	46	17	33
gene_864	184	204	187	54	49	49	38	39	40
gene_865	183	128	140	40	32	35	30	33	48
gene_866	556	546	157	75	158	273	72	40	166
gene_867	12	0	0	0	3	2	2	5	0
gene_868	0	1	0	1	2	2	1	1	0
gene_869	520	492	454	80	157	137	190	106	131
gene_870	9	4	2	0	0	3	0	2	0
gene_871	545	441	648	215	194	139	128	287	91
gene_872	403	650	513	261	126	210	281	216	154
gene_873	105	354	445	91	127	97	70	127	62
gene_874	40	42	29	13	13	4	4	7	4
gene_875	267	273	265	63	85	82	76	85	71
gene_876	1	0	0	0	0	1	0	1	2
gene_877	27	27	36	1	5	6	5	4	4
gene_878	196	171	50	8	36	69	12	30	23
gene_879	229	216	220	45	56	53	54	38	35
gene_880	384	327	401	77	96	83	77	87	80
gene_881	287	585	373	107	31	95	165	69	194
gene_882	623	1437	1583	190	26	237	135	223	309
gene_883	7	2	3	0	0	0	0	0	0
gene_884	319	203	165	56	41	56	36	26	76
gene_885	460	326	333	83	111	71	83	65	72
gene_886	1	35	2	0	1	8	0	0	2
gene_887	756	625	719	194	165	225	168	221	261
gene_888	44	23	51	8	18	13	11	15	5
gene_889	10	5	0	0	0	1	0	0	1
gene_890	1017	979	1094	494	249	534	423	560	604
gene_891	150	152	41	26	39	31	44	16	28
gene_892	2	3	6	3	1	0	0	0	1
gene_893	138	130	134	31	25	30	77	20	39
gene_894	271	117	208	53	36	45	41	120	23
gene_895	43	1	74	0	2	0	0	9	1
gene_896	753	838	750	173	180	188	180	191	198
gene_897	82	132	222	64	56	98	94	62	77
gene_898	89	116	117	22	24	26	41	32	21
gene_899	140	299	69	49	60	26	50	39	45
gene_900	101	92	64	29	7	28	18	26	28
gene_901	461	345	199	174	192	294	39	180	161
gene_902	5	5	14	2	0	1	1	1	1
gene_903	4	0	1	0	0	0	0	0	0
gene_904	6	2	8	1	0	0	1	0	0
gene_905	35	56	48	14	11	4	2	19	5
gene_906	4	14	8	7	7	1	3	0	0
gene_907	120	95	91	27	38	25	23	33	27
gene_908	102	185	90	21	28	54	18	35	22
gene_909	31	1	10	6	26	5	19	1	3
gene_910	297	283	268	93	46	91	56	45	55
gene_911	53	121	87	26	18	49	27	1	32
gene_912	253	234	255	55	58	91	45	35	61
gene_913	222	153	217	41	34	48	31	51	42
gene_914	27	20	3	1	1	3	13	0	1
gene_915	160	198	131	107	32	59	48	61	24
gene_916	7	8	0	0	3	2	2	3	4
gene_917	3	2	7	0	5	1	3	0	2
gene_918	899	653	1346	145	264	125	170	212	138
gene_919	2	133	24	26	0	19	27	3	7
gene_920	570	1504	429	151	112	93	206	115	84
gene_921	149	178	170	108	9	27	53	130	49
gene_922	23	4	25	3	24	10	14	4	7
gene_923	187	74	44	21	26	12	15	13	22
gene_924	2	9	2	1	6	1	1	1	1
gene_925	1190	640	834	134	211	154	99	105	252
gene_926	1051	973	1025	258	243	258	306	285	254
gene_927	114	104	71	37	10	4	71	11	54
gene_928	17	11	59	11	5	29	8	5	3
gene_929	82	140	63	29	8	13	35	27	18
gene_930	175	104	101	107	24	77	50	20	92
gene_931	2	0	31	1	0	0	0	0	7
gene_932	117	0	80	27	7	5	74	11	3
gene_933	266	4	9	11	45	42	37	10	88
gene_934	12	37	35	2	6	6	6	12	11
gene_935	34	13	16	2	7	9	13	3	5
gene_936	3	4	2	3	0	4	2	1	0
gene_937	176	198	36	32	26	23	18	34	29
gene_938	193	314	219	85	75	65	79	60	61
gene_939	69	54	82	8	15	13	24	26	7
gene_940	46	117	64	23	15	7	27	8	3
gene_941	141	166	157	41	46	35	40	26	45
gene_942	18	18	4	6	6	9	2	5	5
gene_943	178	196	168	71	56	36	56	45	57
gene_944	55	24	20	0	12	9	9	6	7
gene_945	47	146	177	7	40	23	3	26	12
gene_946	131	66	80	5	15	76	38	26	172
gene_947	33	57	167	22	2	2	3	10	2
gene_948	10	3	17	1	2	6	1	0	0
gene_949	503	404	425	117	102	122	104	120	119
gene_950	19	22	30	8	6	36	7	30	1
gene_951	462	438	423	117	146	141	161	83	139
gene_952	735	312	455	299	123	171	156	126	36
gene_953	31	24	21	5	11	3	4	4	10
gene_954	514	444	555	92	153	116	122	103	155
gene_955	8	5	6	1	1	0	2	0	1
gene_956	3	0	5	2	0	3	0	11	4
gene_957	1258	2908	1963	585	429	491	429	486	701
gene_958	3	8	7	0	0	2	5	0	0
gene_959	194	182	207	47	35	47	61	62	47
gene_960	846	710	873	249	237	201	321	290	282
gene_961	26	5	4	4	5	25	14	2	5
gene_962	129	159	71	24	24	24	24	24	37
gene_963	34	18	21	7	3	4	11	18	9
gene_964	158	128	115	22	20	20	28	31	31
gene_965	70	123	13	43	24	23	3	14	41
gene_966	5753	3480	4442	1120	903	1267	1148	951	938
gene_967	4	7	0	0	1	1	3	1	0
gene_968	11	46	1	11	5	4	4	4	5
gene_969	17	53	14	0	2	2	11	12	2
gene_970	5	31	7	3	2	3	7	0	2
gene_971	164	306	368	56	65	50	58	76	66
gene_972	1375	1329	1143	288	310	344	286	295	283
gene_973	121	87	89	25	21	23	28	10	25
gene_974	141	165	100	14	64	44	46	46	66
gene_975	93	65	2	9	34	17	21	14	14
gene_976	139	134	160	35	26	44	28	35	33
gene_977	13	10	50	3	21	7	3	5	11
gene_978	25	18	46	8	3	15	8	9	11
gene_979	205	215	265	45	60	49	44	59	43
gene_980	249	329	201	83	39	35	37	34	21
gene_981	162	140	129	25	18	24	31	15	28
gene_982	3	5	2	1	0	0	4	0	12
gene_983	40	38	45	3	7	9	2	5	1
gene_984	145	82	108	24	34	21	17	24	15
gene_985	178	255	134	70	34	27	66	42	42
gene_986	63	35	46	17	12	20	15	15	18
gene_987	517	510	342	127	99	84	171	138	137
gene_988	118	95	26	15	5	21	43	5	6
gene_989	263	281	253	58	62	58	51	72	68
gene_990	13	16	12	3	7	3	3	6	4
gene_991	189	230	184	118	23	16	13	22	33
gene_992	16	29	0	0	4	0	6	5	12
gene_993	53	57	19	11	8	23	7	7	3
gene_994	4	3	7	0	2	3	1	5	2
gene_995	14	1	3	13	4	7	2	3	14
gene_996	112	47	73	21	16	20	11	20	10
gene_997	10	3	2	0	0	1	0	0	0
gene_998	483	464	522	124	110	132	96	109	136
gene_999	2270	3275	3714	1326	804	806	450	500	540
gene_1000	98	70	101	18	12	14	17	4	13
gene_1001	2	2	2	0	1	0	0	0	1
gene_1002	14	24	7	6	1	17	3	7	19
gene_1003	495	343	357	86	143	162	64	125	75
gene_1004	1	3	6	2	1	2	0	0	0
gene_1005	8792	9512	11364	1433	923	2818	2243	2203	1872
gene_1006	739	842	911	200	207	221	235	191	203
gene_1007	37	85	61	21	40	29	14	11	14
gene_1008	48	84	8	17	16	5	8	3	8
gene_1009	38	65	56	20	9	11	40	27	13
gene_1010	3	1	0	0	1	0	1	2	0
gene_1011	1	4	0	0	0	0	2	3	1
gene_1012	46	31	29	10	19	7	9	12	9
gene_1013	0	0	2	0	1	1	0	0	0
gene_1014	0	5	0	0	1	0	1	0	0
gene_1015	587	570	518	132	135	136	178	139	139
gene_1016	107	47	63	38	11	5	15	6	11
gene_1017	49	32	33	14	6	7	9	6	10
gene_1018	287	268	309	74	97	49	102	60	79
gene_1019	1	0	1	0	1	1	0	0	0
gene_1020	2	4	12	10	13	0	0	1	2
gene_1021	47	107	0	0	3	5	2	2	0
gene_1022	424	480	521	133	69	90	83	85	80
gene_1023	0	3	4	3	0	1	2	0	0
gene_1024	1135	2149	1703	422	427	408	432	253	370
gene_1025	10056	2726	5491	2017	780	2441	1132	1643	558
gene_1026	17	84	14	2	19	15	2	10	12
gene_1027	283	261	1392	79	172	165	90	54	255
gene_1028	270	287	262	68	102	73	69	84	68
gene_1029	207	228	250	49	74	59	66	52	55
gene_1030	106	116	88	28	21	19	20	14	27
gene_1031	737	605	591	137	168	111	171	151	182
gene_1032	45	49	64	8	6	3	15	9	15
gene_1033	2	9	0	15	1	0	0	2	0
gene_1034	423	546	414	134	107	102	127	87	159
gene_1035	10	10	227	53	0	1	0	25	0
gene_1036	83	53	24	6	11	16	14	6	4
gene_1037	29	59	39	11	10	18	11	20	17
gene_1038	33	56	10	7	7	7	12	11	7
gene_1039	3	8	4	1	0	0	5	2	5
gene_1040	65	72	38	12	2	12	6	4	8
gene_1041	1	6	1	0	0	4	2	0	1
gene_1042	6	1	0	1	0	0	3	1	7
gene_1043	19	51	50	7	10	5	6	3	10
gene_1044	0	3	17	3	6	7	1	8	5
gene_1045	64	51	69	14	11	15	13	12	9
gene_1046	28	33	61	22	8	6	14	13	18
gene_1047	203	302	278	70	74	70	78	58	62
gene_1048	16	127	436	9	18	34	13	63	15
gene_1049	830	570	615	345	84	196	192	158	115
gene_1050	189	267	48	74	37	6	15	124	17
gene_1051	562	580	437	175	216	205	215	206	125
gene_1052	38	13	61	2	9	8	4	8	4
gene_1053	4	2	6	0	0	2	0	17	1
gene_1054	9	16	16	9	2	1	1	1	1
gene_1055	113	128	200	59	53	41	32	64	37
gene_1056	251	152	152	80	54	29	80	77	38
gene_1057	13	18	8	4	3	2	2	3	3
gene_1058	180	221	136	25	74	10	15	19	38
gene_1059	115	98	88	25	39	21	47	39	35
gene_1060	1197	810	1066	173	288	232	343	174	243
gene_1061	7	2	1	2	0	4	2	0	4
gene_1062	100	109	84	9	24	20	26	29	26
gene_1063	13	4	17	0	0	4	0	3	0
gene_1064	16	1	9	1	3	4	0	0	0
gene_1065	44	138	64	23	33	24	15	14	10
gene_1066	0	7	0	1	2	0	14	5	5
gene_1067	22	54	104	3	19	34	24	15	9
gene_1068	93	130	87	32	32	28	22	23	35
gene_1069	287	361	285	131	160	121	39	150	100
gene_1070	120	39	19	26	35	47	19	17	15
gene_1071	0	6	0	0	5	13	1	30	34
gene_1072	356	164	135	12	48	49	22	8	57
gene_1073	1282	1588	1883	544	603	303	394	448	451
gene_1074	797	2647	2634	459	570	699	984	439	1012
gene_1075	184	210	237	61	39	57	51	73	62
gene_1076	112	147	114	4	35	17	9	42	15
gene_1077	224	116	132	70	27	43	52	58	11
gene_1078	0	2	8	0	1	0	0	1	0
gene_1079	248	201	180	63	73	94	60	53	48
gene_1080	25	53	20	12	14	14	10	19	11
gene_1081	194	168	153	40	49	61	36	48	40
gene_1082	136	136	226	25	30	50	57	28	23
gene_1083	32	13	26	12	4	7	4	3	3
gene_1084	57	71	60	15	16	12	14	17	15
gene_1085	91	89	75	14	21	29	22	18	19
gene_1086	11	0	0	0	1	12	1	3	1
gene_1087	0	1	0	4	0	1	0	4	2
gene_1088	131	145	126	36	32	24	29	35	36
gene_1089	6	2	211	14	56	35	42	7	20
gene_1090	135	387	407	99	24	28	65	41	45
gene_1091	0	1	5	0	0	0	3	0	0
gene_1092	150	99	94	32	42	34	18	23	27
gene_1093	370	56	120	25	73	33	22	39	11
gene_1094	1	106	3	1	0	1	14	0	0
gene_1095	14	68	18	0	15	7	10	3	1
gene_1096	0	13	1	3	0	3	0	0	0
gene_1097	4	0	0	1	1	0	1	1	1
gene_1098	48	57	119	18	3	21	10	6	16
gene_1099	0	0	30	2	4	1	4	0	1
gene_1100	3217	3723	17899	2138	460	1564	1317	3488	1498
gene_1101	66	56	200	8	8	7	6	7	4
gene_1102	1734	1837	2122	471	426	496	418	499	496
gene_1103	2	0	0	0	1	0	1	0	4
gene_1104	17	3	9	2	2	7	10	2	2
gene_1105	175	163	144	48	32	38	40	26	28
gene_1106	942	654	764	252	291	228	222	292	167
gene_1107	46	54	30	12	7	10	13	14	9
gene_1108	903	431	767	210	138	211	205	192	126
gene_1109	124	144	119	31	20	42	33	33	29
gene_1110	2	13	14	0	0	3	3	5	9
gene_1111	4	0	72	8	1	0	0	3	0
gene_1112	19	17	41	7	7	3	12	16	5
gene_1113	142	126	152	61	24	26	34	28	45
gene_1114	131	77	116	19	21	21	24	27	21
gene_1115	3	0	0	0	2	0	0	0	1
gene_1116	0	2	6	0	0	0	2	0	1
gene_1117	88	107	125	27	45	26	53	13	29
gene_1118	0	0	4	0	0	0	0	1	0
gene_1119	46	25	46	15	11	8	9	17	14
gene_1120	472	764	585	176	217	181	213	169	147
gene_1121	3	2	3	0	0	0	0	1	0
gene_1122	100	127	368	18	40	34	30	75	47
gene_1123	2	6	7	1	2	1	0	3	1
gene_1124	41	34	28	6	5	3	6	4	4
gene_1125	101	52	70	5	10	18	13	5	17
gene_1126	142	149	136	26	40	31	42	36	21
gene_1127	234	230	153	35	27	30	35	48	45
gene_1128	0	1	4	7	2	0	2	2	1
gene_1129	26	7	15	5	3	7	30	4	5
gene_1130	6	1	8	2	0	0	1	0	0
gene_1131	28	60	79	5	4	14	38	25	8
gene_1132	3172	3673	3573	1111	700	1146	1269	636	624
gene_1133	53	22	2	8	2	7	0	0	7
gene_1134	127	10	15	18	13	6	16	2	17
gene_1135	302	393	327	85	106	97	98	89	103
gene_1136	395	265	495	114	26	64	124	89	28
gene_1137	83	65	300	56	14	24	10	25	73
gene_1138	6	6	5	1	1	4	2	0	2
gene_1139	2	0	24	4	2	6	7	0	6
gene_1140	453	216	448	80	62	69	86	88	61
gene_1141	1	3	3	2	1	1	0	1	0
gene_1142	64	8	5	0	1	2	2	1	0
gene_1143	197	190	130	33	49	45	25	55	42
gene_1144	689	344	502	176	137	157	185	111	158
gene_1145	8904	9869	10157	2401	2149	2455	2297	2105	2507
gene_1146	143	123	201	61	100	53	54	46	17
gene_1147	49	42	45	13	28	6	6	24	13
gene_1148	215	257	119	48	42	21	21	13	18
gene_1149	10	3	2	1	1	0	1	0	0
gene_1150	2	8	12	1	2	1	1	4	3
gene_1151	7	12	1	0	0	0	1	1	1
gene_1152	71	95	67	34	48	28	39	18	42
gene_1153	316	169	346	48	257	37	50	4	24
gene_1154	101	101	38	30	14	18	18	12	15
gene_1155	29	4	16	4	1	2	6	2	5
gene_1156	65	46	30	22	9	19	14	8	23
gene_1157	2	3	0	0	2	1	13	0	0
gene_1158	10	15	1	0	6	3	0	0	4
gene_1159	2	90	7	0	4	18	2	0	4
gene_1160	378	197	223	156	56	84	89	54	80
gene_1161	365	653	189	19	14	21	49	9	34
gene_1162	943	695	832	220	155	188	197	285	194
gene_1163	36	20	7	5	10	10	8	9	2
gene_1164	9	35	3	0	0	0	0	0	3
gene_1165	208	174	189	72	38	57	60	43	40
gene_1166	78	70	22	11	11	17	43	8	11
gene_1167	1	91	1	42	0	26	29	10	17
gene_1168	185	337	117	113	127	85	116	83	43
gene_1169	90	63	95	53	29	38	37	14	25
gene_1170	642	620	595	166	140	140	132	128	130
gene_1171	1	1	0	3	2	2	1	3	0
gene_1172	13	28	4	1	0	2	1	5	0
gene_1173	419	518	877	112	94	172	187	183	135
gene_1174	57	6	67	24	2	11	4	27	2
gene_1175	11	5	6	1	3	1	5	3	2
gene_1176	0	0	0	0	0	0	1	0	0
gene_1177	82	59	73	7	14	168	98	59	17
gene_1178	135	89	132	53	35	32	16	26	39
gene_1179	518	699	795	161	146	144	152	159	132
gene_1180	88	76	66	20	20	17	26	15	13
gene_1181	38	121	41	39	24	33	18	10	11
gene_1182	1	9	1	11	8	4	0	2	1
gene_1183	3246	2629	2730	623	715	570	850	627	991
gene_1184	1031	820	772	309	240	225	206	252	206
gene_1185	1	9	0	0	1	1	0	0	1
gene_1186	170	174	170	69	53	112	54	75	46
gene_1187	25	66	124	38	19	21	8	7	21
gene_1188	23	18	36	1	0	0	4	0	1
gene_1189	2	14	10	1	1	0	0	3	1
gene_1190	11	54	13	15	27	10	23	10	18
